session_id,item_id,date
1,1001,2020-12-18 21:29:00.373
1,1002,2020-12-18 21:30:00.373
2,1001,2020-12-19 10:28:00.373
2,1002,2020-12-19 10:29:00.373
3,1001,2020-12-20 15:28:00.373
3,1002,2020-12-20 15:29:00.373
4,2001,2020-12-21 09:28:00.373
4,2002,2020-12-21 09:29:00.373
5,2001,2020-12-22 14:28:00.373
5,2002,2020-12-22 14:29:00.373
6,3001,2020-12-23 11:28:00.373
6,3002,2020-12-23 11:29:00.373
7,3001,2020-12-24 16:28:00.373
7,3002,2020-12-24 16:29:00.373
8,1001,2020-12-25 13:28:00.373
8,1002,2020-12-25 13:29:00.373
9,2001,2020-12-26 12:28:00.373
9,2002,2020-12-26 12:29:00.373
10,3001,2020-12-27 10:28:00.373
10,3002,2020-12-27 10:29:00.373
11,1001,2020-12-28 14:25:00.373
11,1002,2020-12-28 14:26:00.373
11,1003,2020-12-28 14:27:00.373
12,2001,2020-12-29 15:25:00.373
12,2002,2020-12-29 15:26:00.373
12,2003,2020-12-29 15:27:00.373
13,3001,2020-12-30 16:25:00.373
13,3002,2020-12-30 16:26:00.373
13,3003,2020-12-30 16:27:00.373
3,15085,2020-12-18 21:26:47.986
13,18626,2020-03-13 19:36:15.507
18,24911,2020-08-26 19:20:32.049
19,12534,2020-11-02 17:16:45.92
24,13226,2020-02-26 18:27:44.114
28,26394,2020-05-18 12:52:09.764
31,8345,2021-04-20 19:46:42.594
36,14532,2020-06-21 10:33:22.535
42,11784,2021-03-01 15:17:04.264
44,4028,2020-11-27 20:46:08.951
48,24022,2020-04-15 17:29:15.414
49,2011,2020-05-01 12:34:29.86
52,12556,2020-03-21 11:49:07.324
75,28057,2020-05-24 17:27:54.288
77,4243,2020-09-20 21:37:20.838
107,4016,2020-01-15 06:07:23.177
108,18532,2020-06-06 17:25:15.508
113,21107,2021-05-05 14:15:07.278
115,25976,2021-05-27 10:24:05.043
119,434,2020-10-11 06:32:22.085
124,3732,2020-05-18 11:04:15.42
127,25117,2020-01-15 15:17:43.659
140,23502,2021-04-28 13:45:31.202
151,15623,2020-03-04 13:04:39.716
153,20208,2021-01-16 19:40:36.012
154,27613,2020-04-24 07:26:08.643
156,7096,2020-11-27 12:49:17.506
170,20691,2020-03-08 12:57:23.604
171,14014,2020-12-18 01:12:30.945
181,3162,2020-04-03 19:27:09.209
182,17882,2020-01-29 20:45:59.526
184,419,2021-04-04 01:43:26.238
186,1368,2021-03-27 22:12:41.377
188,10852,2020-10-12 20:19:35.231
195,1631,2021-01-05 12:04:27.612
207,15501,2020-07-04 20:09:31.029
208,27584,2020-12-13 09:56:28.935
226,27768,2020-12-12 11:54:16.573
227,24836,2020-08-16 12:38:25.676
232,10657,2020-09-11 12:18:12.584
235,11065,2020-08-14 21:11:22.333
237,19908,2020-09-09 20:44:56.692
247,18742,2021-02-13 12:57:45.287
248,5066,2020-12-14 13:10:53.162
261,8840,2021-05-31 13:44:52.368
266,23852,2021-02-27 17:37:03.395
289,16660,2020-04-25 19:52:01.383
302,8060,2020-12-07 16:37:33.057
306,17376,2021-03-15 11:05:10.535
315,10126,2020-11-13 10:55:42.067
318,16572,2021-04-26 09:24:46.895
324,26160,2020-05-25 15:40:17.987
325,4309,2021-05-05 10:11:06.926
332,25415,2021-05-25 16:24:30.224
334,13538,2020-01-15 21:26:39.138
337,24738,2021-03-05 07:47:30.682
339,17747,2021-02-06 20:39:22.584
340,7046,2021-01-09 21:07:20.44
349,697,2020-10-24 22:39:38.868
351,9683,2021-03-05 19:45:49.05
352,21534,2020-06-08 20:07:05.896
359,9284,2020-12-02 19:42:47.529
376,25681,2020-01-25 11:48:15.772
378,8321,2020-02-26 10:50:04.862
380,3423,2021-01-01 20:40:41.685
384,25114,2020-12-18 08:54:56.893
388,14800,2021-05-21 18:12:17.106
390,8242,2021-03-04 17:46:43.403
412,8193,2020-11-30 09:10:14.813
415,13272,2020-01-20 22:55:46.392
418,22231,2020-12-29 23:01:45.507
419,20563,2020-07-09 07:12:19.078
422,6790,2021-04-08 18:07:25.169
428,28032,2020-11-02 00:09:49.426
429,26904,2021-03-26 18:20:17.319
431,27998,2020-06-22 13:21:40.573
443,18573,2020-09-01 17:23:02
449,5610,2020-07-26 14:09:25.445
450,15417,2020-01-09 13:47:54.201
453,8167,2020-08-29 22:43:15.02
454,7828,2020-09-16 21:18:04.355
457,27869,2021-02-12 00:36:11.921
459,8706,2020-04-04 14:18:58.68
461,853,2020-04-12 14:11:16.28
464,28139,2020-06-04 10:16:35.674
467,13656,2020-12-01 20:53:09.866
475,11855,2020-11-30 12:14:43.248
477,5355,2020-05-27 07:09:06.727
480,4130,2021-04-04 11:40:10.383
482,7665,2020-08-22 20:39:25.721
486,5782,2020-05-09 19:36:52.537
487,921,2020-08-29 17:04:49.036
493,20599,2020-12-12 15:56:32.929
494,11784,2021-01-18 12:23:27.501
496,1640,2021-04-02 14:38:38.961
499,1374,2020-08-08 14:14:42.879
507,18672,2020-05-16 13:03:53.15
508,13944,2020-12-24 21:36:32.433
509,24940,2020-10-23 19:31:56.977
512,28135,2020-05-27 09:23:26.806
